drugbank_id	selleck_id
DB00091	Cyclosporin-A(Cyclosporine-A)
DB00091	Cyclosporine
DB00121	biotin-vitamin-b7
DB00126	vitamin-c-ascorbic-acid
DB00130	D-glutamine
DB00130	Glutamine
DB00136	Calcitriol-(Rocaltrol)
DB00140	Riboflavin-Vitamin-B2
DB00146	Calcifediol
DB00153	vitamin-d2-ergocalciferol
DB00168	aspartame
DB00169	vitamin-d3-cholecalciferol
DB00170	Menadione
DB00171	atp-Adenosine-Triphosphate
DB00173	adenine
DB00175	pravastatin-pravachol
DB00176	Fluvoxamine-maleate
DB00177	Valsartan(Diovan)
DB00178	Ramipril(Altace)
DB00181	r-baclofen
DB00188	Bortezomib
DB00190	Carbidopa
DB00194	Adenosine(Adenocard)
DB00194	Vidarabine(Vira-A)
DB00195	betaxolol-betoptic
DB00195	betaxolol-hydrochloride-betoptic
DB00196	Fluconazole
DB00198	oseltamivir-phosphate-Tamiflu
DB00199	Erythromycin(E-Mycin)
DB00202	succinylcholine-suxamethonium-chloride-dihydrate
DB00203	Sildenafil-citrate
DB00204	Dofetilide(Tikosyn)
DB00205	Pyrimethamine
DB00206	Reserpine
DB00207	azithromycin-dihydrate
DB00207	azithromycin-zithromax
DB00208	ticlopidine-hydrochloride
DB00209	Trospium-chloride-Sanctura
DB00210	Adapalene
DB00214	Torsemide(Demadex)
DB00215	escitalopram-oxalate
DB00216	eletriptan-hydrobromide
DB00218	Moxifloxacin
DB00222	Glimepiride
DB00224	Indinavir
DB00225	Gadodiamide(Omniscan)
DB00227	lovastatin-mevacor
DB00232	methyclothiazide
DB00233	aminosalicylate-sodium
DB00234	reboxetine-mesylate
DB00235	Milrinone(Primacor)
DB00238	Nevirapine(Viramune)
DB00242	Cladribine
DB00243	Ranolazine(Ranexa)
DB00243	Ranolazine-dihydrochloride
DB00244	Mesalamine(Lialda)
DB00245	benztropine-mesylate
DB00246	Ziprasidone-hydrochloride
DB00249	idoxuridine
DB00252	Phenytoin-Lepitoin
DB00252	Phenytoin-sodium-Dilantin
DB00254	doxycycline-hcl
DB00255	Diethylstilbestrol(Stilbestrol)
DB00257	Clotrimazole(Canesten)
DB00259	Sulfanilamide
DB00260	D-Cycloserine
DB00261	anagrelide-hydrochloride
DB00263	Sulfisoxazole
DB00264	metoprolol-tartrate
DB00268	ropinirole-hydrochloride
DB00270	Isradipine(Dynacirc)
DB00273	Topiramate
DB00278	argatroban
DB00281	Lidocaine
DB00282	Pamidronate-Disodium
DB00282	pamidronic-acid
DB00283	Clemastine-Fumarate
DB00284	Acarbose
DB00285	Venlafaxine-hydrochloride
DB00289	atomoxetine-hydrochloride
DB00290	Bleomycin-sulfate
DB00292	Etomidate
DB00293	Raltitrexed
DB00296	ropivacaine-hcl
DB00297	Bupivacaine-hydrochloride(Marcain)
DB00297	lvobupivacaine-hcl
DB00299	penciclovir
DB00300	Tenofovir
DB00302	tranexamic-acid-transamin
DB00307	bexarotene
DB00308	ibutilide-fumarate
DB00310	chlorthalidone-chlortalidone
DB00315	Zolmitriptan(Zomig)
DB00317	Gefitinib
DB00321	amitriptyline-hydrochloride
DB00322	Floxuridine
DB00323	tolcapone
DB00328	Indomethacin(Indocid)
DB00330	ethambutol-hcl
DB00332	Ipratropium-bromide
DB00334	Olanzapine(Zyprexa)
DB00336	Nitrofurazone(ACTIN-N)
DB00337	Pimecrolimus
DB00338	Omeprazole
DB00339	Pyrazinamide(Pyrazinoic-acid-amide)
DB00341	Cetirizine-di-hcl
DB00343	Diltiazem-HCl(Tiazac)
DB00345	4-aminohippuric-acid
DB00346	Alfuzosin-hydrochloride
DB00350	Minoxidil
DB00352	Thioguanine
DB00354	buclizine-hcl
DB00355	Aztreonam(Azactam)
DB00356	chlorzoxazone
DB00357	Aminoglutethimide(Cytadren)
DB00359	Sulfadiazine
DB00361	vinorelbine-navelbine
DB00363	Clozapine(Clozaril)
DB00367	Levonorgestrel(Levonelle)
DB00368	noradrenaline-bitartrate-monohydrate-levophed
DB00369	Cidofovir
DB00370	mirtazapine-remeron-avanza
DB00373	timolol-maleate
DB00377	palonosetron-hcl
DB00380	Dexrazoxane-Hydrochloride
DB00381	Amlodipine(Norvasc)
DB00384	triamterene
DB00388	Phenylephrine-hydrochloride
DB00389	carbimazole
DB00391	levosulpiride-levogastrol
DB00393	Nimodipine(Nimotop)
DB00394	beclomethasone-dipropionate
DB00396	Progesterone(Prometrium)
DB00398	Sorafenib-Tosylate
DB00399	Zoledronic-Acid
DB00400	griseofulvin
DB00405	brompheniramine
DB00406	Crystal-violet
DB00412	Rosiglitazone-Avandia
DB00412	Rosiglitazone-maleate
DB00412	rosiglitazone-hydrochloride
DB00413	Pramipexole-Mirapex
DB00413	Pramipexole-dihydrochloride-monohydrate
DB00415	ampicillin-sodium
DB00415	ampicillin-trihydrate
DB00421	spironolactone
DB00423	Methocarbamol(Robaxin)
DB00424	Atropine-sulfate-monohydrate
DB00424	hyoscyamine-daturine
DB00426	Famciclovir(Famvir)
DB00428	Streptozotocin
DB00429	trometamol
DB00432	Trifluridine(Viroptic)
DB00434	cyproheptadine-hydrochloride-periactin
DB00437	Allopurinol(Zyloprim)
DB00437	Allopurinol-Sodium(Aloprim)
DB00440	trimethoprim
DB00441	Gemcitabine(Gemzar)
