type	drugbank_id	name	cal_logp	cal_logs	cal_water_solubility	cal_molecular_weight	cal_polar_surface_area	cal_refractivity	cal_polarizability	cal_rotatable_bond_count	cal_h_bond_acceptor_count	cal_h_bond_donor_count	cal_pka_acidic	cal_pka_basic	cal_physiological_charge	cal_number_of_rings	cal_bioavailability	cal_rule_of_five	exp_molecular_weight	exp_logp	exp_pka	half_life
biotech	DB00001	Lepirudin																	6963.4250			Approximately 1.3 hours
biotech	DB00002	Cetuximab																	145781.6000			114 hrs
biotech	DB00003	Dornase alfa																	29253.9000			
biotech	DB00004	Denileukin diftitox																	57647.3000			70-80 min
biotech	DB00005	Etanercept																	51234.9000			102 +/- 30 hrs in individuals with rheumatoid arthritis and 68 hours in healthy adults
biotech	DB00006	Bivalirudin																	2180.2853			"* Normal renal function: 25 min (in normal conditions)
* Creatinine clearance 10-29mL/min: 57min
* Dialysis-dependant patients: 3.5h"
biotech	DB00007	Leuprolide																	1209.3983			~3 hours
biotech	DB00008	Peginterferon alfa-2a																	60000.0000			Terminal half life is 80 hours (range 50 to 140 hours).
biotech	DB00009	Alteplase																	59042.3000			
biotech	DB00010	Sermorelin																	3357.8820			11-12 min
biotech	DB00011	Interferon alfa-n1																	19241.1000			1.2 hours (mammalian reticulocytes, in vitro); &gt;20 hours (yeast, in vivo); &gt;10 hours (Escherichia coli, in vivo).
biotech	DB00012	Darbepoetin alfa																	18396.1000			
biotech	DB00013	Urokinase																	31126.5000			12 minutes. Small fractions of the administered dose are excreted in bile and urine
small molecule	DB00014	Goserelin	0.3	-4.7	2.83e-02 g/l	1269.4105	495.89	325.84	131.22	33	18	17	9.27	10.82	2	6	0			-2		4-5 hours
biotech	DB00015	Reteplase																	39589.6000			
biotech	DB00016	Epoetin alfa																	18396.1000			
biotech	DB00017	Salmon Calcitonin																	3431.8530			Half-life elimination (terminal): I.M. 58 minutes; SubQ 59 to 64 minutes; Nasal: ~18 to 23 minutes 
biotech	DB00018	Interferon alfa-n3																				
biotech	DB00019	Pegfilgrastim																	18802.8000			15-80 hrs
biotech	DB00020	Sargramostim																	14434.5000			
biotech	DB00021	Secretin																	3056.4000			
biotech	DB00022	Peginterferon alfa-2b																	31000.0000			"The mean elimination half-life is approximately 40 hours (range 22 to 60 hours) in patients with HCV infection.

"
biotech	DB00023	Asparaginase																	31731.9000			8-30 hrs
biotech	DB00024	Thyrotropin Alfa																	22672.9000			25 ± 10 hours
biotech	DB00025	Antihemophilic Factor																	264725.5000			8.4-19.3 hrs
